X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010
0.001430796,0.001403061,0.001364377,0.001364314,0.001343228,0.001316528,0.001304184,0.001288855,0.001290381,0.001298385,0.001265717,0.001254121,0.001165007,0.001073933,0.000950043,0.000877077,0.000821538,0.000790347,0.000753591,0.000674574,0.000627454,0.000582437,0.000532733,0.00050616,0.000479202,0.000466703,0.000450515,0.000441218,0.000442701,0.000433576,0.000407239,0.000388494,0.000350904,0.000322947,0.000309201,0.000301857,0.000293118,0.000285733,0.000275185,0.000263557,0.000254832,0.000249124,0.000249255,0.000249413,0.000250824,0.000253326,0.000253678,0.000257452,0.000261189,0.000260887,0.000257852
0.001317029,0.001289425,0.00125265,0.001250193,0.001229832,0.001206846,0.001198116,0.001187257,0.001189708,0.00119671,0.001167461,0.001164392,0.001089598,0.001016552,0.000908736,0.000842435,0.00079138,0.000762704,0.000731157,0.000659277,0.000616921,0.00057469,0.000528016,0.000500522,0.000472572,0.000458653,0.00044446,0.000434146,0.000434486,0.000428422,0.000407069,0.000386575,0.000352674,0.000328352,0.000316482,0.0003103,0.000300111,0.000292323,0.000282141,0.000272521,0.000264634,0.00026127,0.000262528,0.000260768,0.000261818,0.000264027,0.000265534,0.000272234,0.000276996,0.000278906,0.000274876
0.00127014,0.001239797,0.001197712,0.00119186,0.001169786,0.001146875,0.001140247,0.001130812,0.001133008,0.001137746,0.001113945,0.001113743,0.001052443,0.000992569,0.000899121,0.000837247,0.000787163,0.000761555,0.000731446,0.000665974,0.00062544,0.000586334,0.00053973,0.000510371,0.000480278,0.000465492,0.000450763,0.00044054,0.000439892,0.000435521,0.000419101,0.000395962,0.000364983,0.000344402,0.000335285,0.000329098,0.00031814,0.000308881,0.000299167,0.000290794,0.000284839,0.000284091,0.000284905,0.000282323,0.000283154,0.000284906,0.000286964,0.000295705,0.000303493,0.000305667,0.000303044
0.001274537,0.00123699,0.001191922,0.001180144,0.00115403,0.001131407,0.001125516,0.001114333,0.001114988,0.001116281,0.001099069,0.001097553,0.001046307,0.000999023,0.00091662,0.000858298,0.000808143,0.000782194,0.000752993,0.000691731,0.00065199,0.000613015,0.000566645,0.000535378,0.00050099,0.000484175,0.000469398,0.00045955,0.00045609,0.000453559,0.000440739,0.0004168,0.000388861,0.000371255,0.000363081,0.000356796,0.000346749,0.000335764,0.000325504,0.000318541,0.000313795,0.000314021,0.000315549,0.000312373,0.000312294,0.000313685,0.00031782,0.00032787,0.000337656,0.000342055,0.000339874
0.001321389,0.001279646,0.0012276,0.001207953,0.00117804,0.001154032,0.00114754,0.001135327,0.001133182,0.001131474,0.001118857,0.001113461,0.001072015,0.001032372,0.000960455,0.00090177,0.000850556,0.000822,0.000793012,0.000732117,0.000693208,0.000653369,0.000606393,0.000572192,0.000534384,0.000515483,0.000499434,0.000487439,0.00048137,0.000480762,0.000470711,0.000445578,0.000420672,0.000406181,0.000398173,0.000392826,0.000382637,0.000371603,0.000360566,0.000353082,0.000348812,0.000350248,0.000352694,0.000349176,0.000348447,0.000349702,0.000353293,0.000366113,0.000376991,0.000383313,0.000384357
0.001402294,0.001355281,0.001297418,0.001270805,0.001238091,0.001211282,0.001202785,0.00118843,0.001182501,0.001176788,0.001170299,0.001160121,0.001123675,0.001091448,0.001025094,0.000964872,0.000910024,0.000879279,0.000848454,0.000787419,0.000746634,0.000705967,0.000656263,0.000620439,0.000578083,0.000556043,0.00053771,0.000524308,0.000514984,0.000514588,0.000505385,0.000482038,0.000459801,0.00044553,0.000437818,0.000431661,0.000422375,0.000411192,0.000399143,0.000390904,0.000386205,0.000388189,0.000390846,0.000388167,0.000388052,0.000389512,0.000392805,0.000405796,0.000418245,0.000427206,0.000430979
0.001512403,0.001456738,0.001394919,0.001362783,0.001326614,0.001296205,0.001284687,0.001269266,0.001260591,0.001252006,0.001249818,0.001232199,0.001199216,0.001171346,0.001107142,0.001045954,0.000986133,0.000949211,0.000915802,0.000851443,0.000809644,0.000766788,0.000714426,0.000676098,0.000629348,0.000603218,0.000582711,0.000566954,0.000555114,0.000552402,0.00054423,0.000521644,0.000502164,0.00048772,0.000478332,0.000471461,0.0004623,0.000452031,0.000439821,0.000429598,0.00042433,0.000426013,0.00042911,0.000426566,0.000427364,0.000429441,0.0004319,0.000445404,0.000459552,0.000470667,0.000476822
0.001646067,0.001583503,0.001514727,0.001479141,0.001439067,0.001404669,0.001391902,0.001372515,0.001362415,0.001350366,0.001352852,0.001327029,0.001294109,0.001269319,0.001203981,0.001139682,0.001072258,0.001030883,0.000992454,0.000925439,0.000879425,0.000833995,0.000780137,0.000738205,0.000686047,0.000657262,0.000633757,0.000614732,0.000598392,0.000593233,0.000583576,0.000564864,0.000545123,0.000529548,0.000517046,0.000509382,0.000500447,0.000490321,0.000477064,0.00046569,0.000458679,0.000458959,0.000463551,0.000461381,0.000463385,0.000466426,0.000468477,0.000482063,0.000497444,0.000510903,0.000519827
0.001794006,0.001726407,0.001650142,0.001613836,0.001569753,0.001533704,0.001519717,0.001498319,0.001486276,0.001472148,0.001475464,0.001442942,0.001408342,0.001381586,0.001313593,0.001242648,0.001168333,0.001120014,0.001076962,0.001003512,0.000955458,0.000906964,0.000848707,0.000804385,0.000746854,0.000715815,0.000687465,0.000664438,0.000644851,0.000635378,0.000623136,0.000606842,0.000587935,0.00057009,0.00055341,0.000543471,0.000533684,0.000523804,0.000509682,0.000497248,0.000488378,0.000488038,0.00049302,0.000492262,0.000494766,0.000499082,0.000500097,0.000513365,0.000530623,0.000546076,0.000556209
0.001954372,0.001880977,0.001796313,0.001762093,0.001716888,0.00167942,0.001664397,0.001638815,0.001624968,0.001608573,0.001610523,0.001575157,0.001535299,0.001503142,0.001431017,0.001353441,0.001270243,0.0012159,0.001167377,0.001087822,0.001035499,0.000983405,0.000920221,0.000871921,0.00081017,0.000775961,0.000743089,0.00071538,0.000691872,0.000677277,0.00066273,0.000647889,0.000627212,0.00060613,0.000586068,0.00057281,0.000561661,0.000551937,0.00053804,0.000523733,0.000512072,0.000511057,0.000516307,0.000516855,0.000520903,0.000526778,0.000527028,0.000540385,0.000558308,0.000574636,0.000586631
